open,high,low,close,volume,vwap,timestamp,transactions,otc,ny_timestamp
230.9,230.9,230.9,230.9,440.0,230.898,1756381260000,15,,2025-08-28 07:41:00-04:00
230.91,230.91,230.91,230.91,658.0,230.9278,1756381380000,16,,2025-08-28 07:43:00-04:00
230.92,230.92,230.92,230.92,130.0,230.9185,1756381500000,4,,2025-08-28 07:45:00-04:00
230.94,230.94,230.94,230.94,121.0,230.94,1756381620000,2,,2025-08-28 07:47:00-04:00
230.94,230.94,230.94,230.94,602.0,230.9575,1756381740000,19,,2025-08-28 07:49:00-04:00
230.94,230.94,230.94,230.94,583.0,230.9434,1756381800000,16,,2025-08-28 07:50:00-04:00
230.98,230.98,230.98,230.98,447.0,230.9905,1756381860000,26,,2025-08-28 07:51:00-04:00
230.98,231.08,230.98,231.08,3783.0,231.0428,1756382160000,80,,2025-08-28 07:56:00-04:00
231.05,231.1,231.05,231.1,1085.0,231.0842,1756382280000,36,,2025-08-28 07:58:00-04:00
230.95,231.6,230.77,231.37,46582.0,231.1094,1756382400000,1481,,2025-08-28 08:00:00-04:00
231.13,231.13,231.12,231.13,1614.0,231.0739,1756382460000,58,,2025-08-28 08:01:00-04:00
231.14,231.14,231.14,231.14,438.0,230.9796,1756382520000,123,,2025-08-28 08:02:00-04:00
231.13,231.13,231.13,231.13,2144.0,231.1305,1756382580000,33,,2025-08-28 08:03:00-04:00
231.16,231.21,231.16,231.21,6181.0,231.2067,1756382640000,91,,2025-08-28 08:04:00-04:00
231.25,231.2765,231.21,231.21,2720.0,231.2448,1756382700000,35,,2025-08-28 08:05:00-04:00
231.2785,231.2785,231.2785,231.2785,786.0,231.254,1756382760000,25,,2025-08-28 08:06:00-04:00
231.2003,231.2003,231.2,231.2,1299.0,231.2013,1756382820000,38,,2025-08-28 08:07:00-04:00
231.2596,231.2783,231.2596,231.2783,608.0,231.2661,1756382880000,11,,2025-08-28 08:08:00-04:00
231.27,231.27,231.27,231.27,1013.0,231.2699,1756382940000,5,,2025-08-28 08:09:00-04:00
231.2063,231.25,231.1999,231.1999,1583.0,231.2043,1756383000000,33,,2025-08-28 08:10:00-04:00
231.08,231.08,231.05,231.05,1513.0,231.0719,1756383180000,34,,2025-08-28 08:13:00-04:00
231.05,231.05,231.05,231.05,939.0,231.0041,1756383300000,55,,2025-08-28 08:15:00-04:00
